,Timestamp,Have you fully understood the purpose of this survey and how your information will be handled?,Informed Consent options,What gender do you identify as?,What is your age?,What is the highest level of education you have completed?,What is your current work status?,How do you pay for the majority of your medical expenses?,What is your average monthly household income?,"The hospital should have modern, up-to-date equipment","The hospital's physical facilities should be clean and visually appealing (reception, waiting area, consultation rooms, toilets, wards)",The hospital's employees should be well-dressed and have a neat and professional appearance,Materials associated with the service should be visually appealing,"When a hospital employee promises to do something by a particular time, they should do it","When a patient has a problem, the hospital's employees should show a sincere interest in solving it",The hospital should provide its services at the time it promises to do,The hospital should always get things right the first time,The hospital should maintain accurate and error-free records,The hospital's employees should tell the patient exactly when services will be performed,The hospital's employees should provide prompt service to patients,The hospital's employees should always be willing to help patients,The hospital's employees should never be too busy to respond to patients' requests,The behaviour and attitudes of hospital employees should instill confidence in patients,Patients should feel safe in all their dealings with the hospital and its employees,Hospital employees should be consistently courteous to patients,Hospital employees should be knowledgeable and able to answer patients' questions,The hospital should give each patient individualised attention,The hospital's employees should express care in their interaction with patients,The hospital and its employees should have the patients' best interests at heart,The hospital's employees should understand the specific needs of each of their patients,The operating hours of the hospital should be convenient for all its patients,"The hospital has modern, up-to-date equipment","The hospital's physical facilities are clean and visually appealing (reception, waiting area, consultation rooms, toilets, wards)",The hospital's employees are well-dressed and have a neat and professional appearance,Materials associated with the service are visually appealing,"When a hospital employee promises to do something by a particular time, they do it","When a patient has a problem, the hospital's employees show a sincere interest in solving it",The hospital provides its services at the time it promises to do,The hospital always gets things right the first time,The hospital maintains accurate and error-free records,The hospital's employees tell the patients exactly when services will be performed,The hospital's employees provide prompt service to patients,The hospital's employees are always willing to help patients,The hospital's employees are never too busy to respond to patients' requests,The behaviour and attitudes of hospital employees instill confidence in patients,Patients feel safe in all their dealings with the hospital and its employees,The hospital's employees are consistently courteous to patients,The hospital's employees are knowledgeable and able to answer patients' questions,The hospital gives each patient individualised attention,The hospital's employees express care in their interaction with patients,The hospital and its employees have the patients' best interests at heart,The hospital's employees understand the specific needs of each of their patients,The operating hours of the hospital are convenient for all its patients,Which feature is the most important to you?,Which feature is the least important to you?,"Considering your overall experience at Halisi family Hospital, how likely are you to recommend Halisi Family Hospital to your family and friends?",What is the most important reason for your score above?
0,27/04/2024 09:26:15,0,0,1,1,2,1,3,2,4,5,4,4,5,5,5,3,4,4,4,5,2,4,4,4,4,3,4,5,3,3,5,5,5,5,3,5,3,4,3,4,4,5,4,5,5,5,5,4,5,5,5,5,5,1,10,My experience
1,26/04/2024 17:49:18,0,0,1,0,4,0,0,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,2,4,3,3,4,3,3,5,5,4,4,5,4,3,5,5,3,5,2,4,10,"Well equiped, extremely Clean, and reliable service I can trust"
2,26/04/2024 23:42:19,0,0,1,0,3,1,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,2,1,10,The employees show concern and care to patients and go out of their way to help patients
3,27/04/2024 10:06:15,0,0,0,0,3,1,2,3,4,4,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,10,"The hospital has the best, qualified, empathetic and understanding team"
4,27/04/2024 12:29:21,0,0,0,0,4,1,2,3,4,4,5,5,5,5,4,4,5,5,4,5,4,5,5,4,5,4,4,5,4,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,8,Good quality services.
5,27/04/2024 12:54:28,0,0,0,0,2,1,2,0,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,3,4,5,4,4,4,3,4,3,4,4,5,4,3,3,4,5,4,4,4,3,5,3,1,10,The hospital has proven to be able to care and provide quality services to its target customers
6,27/04/2024 13:13:36,0,0,0,0,3,1,2,1,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,4,4,4,4,4,5,4,4,4,5,5,4,5,4,5,5,4,5,3,1,10,The employees are always ready to help the patients and most of them always go even out of their ways to help the patients and above all the professionalism that they conduct themselves with
7,27/04/2024 13:14:11,0,0,0,0,2,1,2,0,5,5,5,4,4,5,4,4,5,5,4,5,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,9,1.We don't offer all services e.g Dental/Optical 2. Price may be challenging to those who don't have healthcare covers
8,27/04/2024 13:16:38,0,0,0,1,4,1,2,3,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,10,It is obvious
9,27/04/2024 13:25:00,0,0,1,0,2,1,2,1,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,5,4,4,4,5,5,5,5,5,5,4,4,5,5,5,5,5,3,1,10,"Provision of prompt ,individualized and timely care to all patients ,cleanliness and availability of all necessary medical supplies and a caring team always at hand to respond"
10,27/04/2024 14:02:21,0,0,0,0,2,1,1,0,4,5,5,4,4,5,5,3,4,5,4,5,3,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,9,"It's a caring Hospital, so neat, confident personnel "
11,27/04/2024 14:28:40,0,0,0,0,2,1,2,1,3,3,5,4,5,5,5,3,4,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,10,"Friendly working environment, no unnecessary pressure at work . A.O.B : we can label drug carrier bags with our own HALISI family hospital logo as a way of marketing beyond Kajiado since we serve patients all over the country now, thank you for your time, Jah bless🙏d"
12,27/04/2024 14:44:24,0,0,0,0,3,1,2,2,4,5,4,3,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,3,4,3,5,4,3,4,4,4,4,4,3,4,5,3,4,4,4,4,3,4,4,3,5,2,1,10,Good Service
13,27/04/2024 14:56:40,0,0,1,0,2,1,0,0,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,3,5,3,4,3,4,3,4,4,2,4,5,5,5,4,5,5,5,5,5,5,5,1,5,8,Personalized attention and follow-up on the patients health progress
14,27/04/2024 16:10:29,0,0,0,0,2,1,2,0,5,5,5,5,3,4,3,4,5,4,5,5,3,5,4,5,5,5,5,5,5,5,4,5,4,4,3,5,4,4,4,4,4,5,3,5,4,5,5,5,5,5,5,5,5,1,10,Quality services provided.
15,27/04/2024 16:26:56,0,0,0,0,2,1,2,4,5,5,5,4,3,5,4,4,4,5,5,5,4,4,4,4,4,5,5,4,5,4,5,5,4,4,4,4,4,4,4,4,4,4,3,5,5,3,4,5,4,4,4,4,2,1,10,Level of care
16,27/04/2024 18:10:39,0,0,1,0,3,1,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,5,3,3,4,4,4,4,3,5,4,5,5,5,5,5,4,5,5,1,10,There is quality offered in every service
17,27/04/2024 18:19:39,0,0,0,0,3,1,2,0,5,5,5,5,5,5,5,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,3,5,2,1,8,Some services are not available.
18,28/04/2024 08:58:52,0,0,1,0,2,1,4,0,5,5,5,5,3,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,5,3,4,3,4,3,4,3,4,3,4,4,4,5,4,4,4,4,4,4,5,4,1,10,.
19,28/04/2024 10:50:05,0,0,1,0,3,1,0,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,1,4,10,Good
20,28/04/2024 19:51:49,0,0,1,0,4,2,3,3,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,2,3,10,The individualized service and great acumen
21,28/04/2024 22:32:46,0,0,1,0,4,2,0,1,5,5,5,5,5,5,5,2,4,4,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,3,4,4,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,1,10,Y
22,28/04/2024 22:43:48,0,0,1,0,3,1,0,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,10,Superb staff and great service
23,29/04/2024 22:49:13,0,0,0,1,3,2,0,2,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,4,4,4,4,3,3,4,2,2,4,4,4,4,4,4,3,4,3,4,4,2,1,8,Delay to attend to patients by doctors 
